  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Charges,Net Sale,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","-","Porvorim Navtara",2020-10-22,"SWIGGY",141.00,53,11486.36,4045.05,0.00,7441.31,372.07,7813.38,-0.38,7813.00,
"-","-","-","Porvorim Navtara",2020-10-22,"ZOMATO",28.00,8,2190.59,0.00,0.00,2190.59,109.55,2300.14,-0.14,2300.00,
"-","-","-","Porvorim Navtara",2020-10-22,"AC",51.00,7,4809.77,0.00,0.00,4809.77,240.50,5050.27,-0.27,5050.00,
"-","-","-","Porvorim Navtara",2020-10-23,"SWIGGY",142.00,50,11991.18,2676.49,0.00,9314.69,465.76,9780.45,-0.45,9780.00,
"-","-","-","Porvorim Navtara",2020-10-23,"NON AC",410.00,112,22173.31,1966.87,0.00,20206.44,1010.50,21216.94,0.06,21217.00,
"-","-","-","Porvorim Navtara",2020-10-23,"TAKE AWAY",127.00,34,7086.21,1319.20,0.00,5767.01,288.37,6055.38,-0.38,6055.00,
"-","-","-","Porvorim Navtara",2020-10-23,"ZOMATO",41.00,12,3343.14,0.00,0.00,3343.14,167.18,3510.32,-0.32,3510.00,
"-","-","-","Porvorim Navtara",2020-10-23,"AC",26.00,5,2143.00,85.72,0.00,2057.28,102.88,2160.16,-0.16,2160.00,
"-","-","-","Porvorim Navtara",2020-10-24,"TAKE AWAY",150.00,44,8895.85,1971.60,0.00,6924.25,346.26,7270.51,0.49,7271.00,
"-","-","-","Porvorim Navtara",2020-10-24,"NON AC",466.00,105,27687.70,3014.50,0.00,24673.20,1233.82,25907.02,-0.02,25907.00,
"-","-","-","Porvorim Navtara",2020-10-24,"SWIGGY",169.00,55,13781.79,3928.76,0.00,9853.03,492.68,10345.71,0.29,10346.00,
"-","-","-","Porvorim Navtara",2020-10-24,"NON FOOD",3.00,1,120.00,0.00,0.00,120.00,0.00,120.00,0.00,120.00,
"-","-","-","Porvorim Navtara",2020-10-24,"AC",92.00,7,7343.40,0.00,0.00,7343.40,367.19,7710.59,0.41,7711.00,
"-","-","-","Porvorim Navtara",2020-10-24,"ZOMATO",28.00,7,2219.19,0.00,0.00,2219.19,110.97,2330.16,-0.16,2330.00,
"-","-","-","Porvorim Navtara",2020-10-25,"NON AC",435.00,87,26201.96,2709.77,0.00,23492.19,1174.76,24666.95,0.05,24667.00,
"-","-","-","Porvorim Navtara",2020-10-25,"SWIGGY",164.00,62,14972.23,4756.93,0.00,10215.30,510.77,10726.07,-0.07,10726.00,
"-","-","-","Porvorim Navtara",2020-10-25,"TAKE AWAY",200.00,58,12743.58,3066.95,0.00,9676.63,483.90,10160.53,0.47,10161.00,
"-","-","-","Porvorim Navtara",2020-10-25,"AC",109.00,7,7800.47,0.00,0.00,7800.47,390.09,8190.56,0.44,8191.00,
"-","-","-","Porvorim Navtara",2020-10-25,"ZOMATO",10.00,4,1152.42,0.00,0.00,1152.42,57.61,1210.03,-0.03,1210.00,
"-","-","-","Porvorim Navtara",2020-10-26,"NON AC",408.00,98,25096.96,2171.64,0.00,22925.32,1146.43,24071.75,0.25,24072.00,
"-","-","-","Porvorim Navtara",2020-10-26,"SWIGGY",153.00,59,14305.59,4157.93,0.00,10147.66,507.40,10655.06,-0.06,10655.00,
"-","-","-","Porvorim Navtara",2020-10-26,"TAKE AWAY",131.00,41,8676.62,1266.82,0.00,7409.80,370.53,7780.33,-0.33,7780.00,
"-","-","-","Porvorim Navtara",2020-10-26,"ZOMATO",31.00,6,2847.79,0.00,0.00,2847.79,142.41,2990.20,-0.20,2990.00,
"-","-","-","Porvorim Navtara",2020-10-26,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2020-10-26,"AC",43.00,4,4123.96,0.00,0.00,4123.96,206.20,4330.16,-0.16,4330.00,
"-","-","-","Porvorim Navtara",2020-10-27,"TAKE AWAY",108.00,36,6943.38,1419.21,0.00,5524.17,276.23,5800.40,-0.40,5800.00,
"-","-","-","Porvorim Navtara",2020-10-27,"SWIGGY",169.00,59,14410.32,3968.72,0.00,10441.60,522.04,10963.64,0.36,10964.00,
"-","-","-","Porvorim Navtara",2020-10-27,"NON AC",497.00,110,29078.47,2009.72,0.00,27068.75,1353.65,28422.40,-0.40,28422.00,
"-","-","-","Porvorim Navtara",2020-10-27,"ZOMATO",21.00,9,2104.88,0.00,0.00,2104.88,105.26,2210.14,-0.14,2210.00,
"-","-","-","Porvorim Navtara",2020-10-27,"AC",34.00,3,2533.51,0.00,0.00,2533.51,126.70,2660.21,-0.21,2660.00,
"-","-","-","Porvorim Navtara",2020-10-28,"TAKE AWAY",131.00,41,8524.34,1814.48,0.00,6709.86,335.51,7045.37,-0.37,7045.00,
"-","-","-","Porvorim Navtara",2020-10-28,"NON AC",422.00,91,26116.34,1647.71,0.00,24468.63,1223.55,25692.18,-0.18,25692.00,
"-","-","-","Porvorim Navtara",2020-10-28,"ZOMATO",35.00,10,2695.47,0.00,0.00,2695.47,134.80,2830.27,-0.27,2830.00,
"-","-","-","Porvorim Navtara",2020-10-28,"SWIGGY",102.00,48,9609.97,2940.80,0.00,6669.17,333.50,7002.67,0.33,7003.00,
"-","-","-","Porvorim Navtara",2020-10-29,"TAKE AWAY",128.00,43,7933.78,2071.60,0.00,5862.18,293.14,6155.32,-0.32,6155.00,
"-","-","-","Porvorim Navtara",2020-10-29,"SWIGGY",116.00,51,9838.70,3136.05,0.00,6702.65,335.17,7037.82,0.18,7038.00,
"-","-","-","Porvorim Navtara",2020-10-29,"NON AC",451.00,106,28677.99,2814.50,0.00,25863.49,1293.29,27156.78,0.22,27157.00,
"-","-","-","Porvorim Navtara",2020-10-29,"ZOMATO",20.00,6,1971.54,0.00,0.00,1971.54,98.58,2070.12,-0.12,2070.00,
"-","-","-","Porvorim Navtara",2020-10-29,"NON FOOD",3.00,2,120.00,0.00,0.00,120.00,0.00,120.00,0.00,120.00,
"-","-","-","Porvorim Navtara",2020-10-30,"NON AC",558.00,104,35440.69,3133.55,0.00,32307.14,1615.56,33922.70,0.30,33923.00,
"-","-","-","Porvorim Navtara",2020-10-30,"TAKE AWAY",142.00,39,8943.42,1962.11,0.00,6981.31,349.09,7330.40,-0.40,7330.00,
"-","-","-","Porvorim Navtara",2020-10-30,"ZOMATO",32.00,13,2723.97,0.00,0.00,2723.97,136.22,2860.19,-0.19,2860.00,
"-","-","-","Porvorim Navtara",2020-10-30,"SWIGGY",125.00,40,9829.16,2353.14,0.00,7476.02,373.83,7849.85,0.15,7850.00,
"-","-","-","Porvorim Navtara",2020-10-31,"TAKE AWAY",140.00,39,9248.15,1762.08,0.00,7486.07,374.34,7860.41,-0.41,7860.00,
"-","-","-","Porvorim Navtara",2020-10-31,"SWIGGY",126.00,47,9924.51,2959.27,0.00,6965.24,348.24,7313.48,-0.48,7313.00,
"-","-","-","Porvorim Navtara",2020-10-31,"NON AC",471.00,82,30202.05,580.98,0.00,29621.07,1481.21,31102.28,-0.28,31102.00,
"-","-","-","Porvorim Navtara",2020-10-31,"ZOMATO",15.00,4,1923.84,0.00,0.00,1923.84,96.19,2020.03,-0.03,2020.00,
"-","-","-","Porvorim Navtara",2020-10-31,"NON FOOD",1.00,1,40.00,0.00,0.00,40.00,0.00,40.00,0.00,40.00,
"-","-","-","Porvorim Navtara",2020-11-01,"NON AC",467.00,81,27802.33,1052.49,0.00,26749.84,1337.60,28087.44,-0.44,28087.00,
"-","-","-","Porvorim Navtara",2020-11-01,"TAKE AWAY",227.00,59,14381.77,4009.81,0.00,10371.96,518.66,10890.62,0.38,10891.00,
"-","-","-","Porvorim Navtara",2020-11-01,"NON FOOD",13.00,1,520.00,0.00,0.00,520.00,0.00,520.00,0.00,520.00,
"-","-","-","Porvorim Navtara",2020-11-01,"SWIGGY",142.00,54,13381.65,1948.10,0.00,11433.55,571.72,12005.27,-0.27,12005.00,
"-","-","-","Porvorim Navtara",2020-11-01,"ZOMATO",10.00,2,914.34,0.00,0.00,914.34,45.72,960.06,-0.06,960.00,
"-","-","-","Porvorim Navtara",2020-11-02,"SWIGGY",175.00,63,15448.62,2749.50,0.00,12699.12,635.04,13334.16,-0.16,13334.00,
"-","-","-","Porvorim Navtara",2020-11-02,"TAKE AWAY",99.00,36,7190.86,1000.09,0.00,6190.77,309.54,6500.31,-0.31,6500.00,
"-","-","-","Porvorim Navtara",2020-11-02,"NON AC",495.00,104,31135.58,1157.29,0.00,29978.29,1499.06,31477.35,-0.35,31477.00,
"-","-","-","Porvorim Navtara",2020-11-02,"NON FOOD",7.00,2,280.00,0.00,0.00,280.00,0.00,280.00,0.00,280.00,
"-","-","-","Porvorim Navtara",2020-11-02,"ZOMATO",69.00,12,4676.52,0.00,0.00,4676.52,233.85,4910.37,-0.37,4910.00,
"-","-","-","Porvorim Navtara",2020-11-03,"SWIGGY",163.00,63,15467.46,2886.64,0.00,12580.82,629.11,13209.93,0.07,13210.00,
"-","-","-","Porvorim Navtara",2020-11-03,"NON AC",346.00,91,21353.90,419.09,0.00,20934.81,1046.89,21981.70,0.30,21982.00,
"-","-","-","Porvorim Navtara",2020-11-03,"TAKE AWAY",110.00,24,6609.89,2571.66,0.00,4038.23,201.91,4240.14,-0.14,4240.00,
"-","-","-","Porvorim Navtara",2020-11-03,"ZOMATO",31.00,6,2304.95,0.00,0.00,2304.95,115.27,2420.22,-0.22,2420.00,
"-","-","-","Porvorim Navtara",2020-11-03,"NON FOOD",4.00,2,160.00,0.00,0.00,160.00,0.00,160.00,0.00,160.00,
"-","-","-","Porvorim Navtara",2020-11-04,"SWIGGY",112.00,49,10524.36,2316.37,0.00,8207.99,410.41,8618.40,-0.40,8618.00,
"-","-","-","Porvorim Navtara",2020-11-04,"TAKE AWAY",104.00,27,6448.07,1193.42,0.00,5254.65,262.74,5517.39,-0.39,5517.00,
"-","-","-","Porvorim Navtara",2020-11-04,"NON AC",388.00,83,22430.20,366.69,0.00,22063.51,1103.28,23166.79,0.21,23167.00,
