Siolim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:58 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Siolim Navtara,24-25/T1-170385,-,200039479860029,2025-03-04,12:02:15 PM,12:12:22 PM,12:42:02 PM,SWIGGY,NA,-,407.00,75.00,332.00,342.50,10.00,0.25,0.25,210.46,121.54,0,0,0,0.00,0.50,0,0,0,0,0,0,0,343.00,0,-,
Siolim Navtara,24-25/T1-170386,-,200039807389526,2025-03-04,12:07:15 PM,12:29:00 PM,12:42:08 PM,SWIGGY,NA,-,268.00,59.99,208.00,218.50,10.00,0.25,0.25,0,208.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,-,
Siolim Navtara,24-25/T1-170388,-,200040056051557,2025-03-04,12:12:16 PM,12:41:39 PM,12:51:16 PM,SWIGGY,NA,-,558.00,100.00,458.00,468.50,10.00,0.25,0.25,0,458.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,469.00,0,-,
Siolim Navtara,24-25/T1-170391,-,200040345928225,2025-03-04,12:16:15 PM,12:31:32 PM,12:51:09 PM,SWIGGY,NA,-,465.00,99.99,365.01,375.51,10.00,0.25,0.25,162.49,202.52,0,0,0,0.00,0.49,0,0,0,0,0,0,0,376.00,0,-,
Siolim Navtara,24-25/T1-170392,-,200040455215108,2025-03-04,12:18:15 PM,12:28:51 PM,12:52:20 PM,SWIGGY,NA,-,288.00,59.99,228.00,238.50,10.00,0.25,0.25,0,228.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,239.00,0,-,
Siolim Navtara,24-25/T1-170394,-,200041126157834,2025-03-04,12:29:16 PM,12:41:14 PM,12:52:47 PM,SWIGGY,NA,-,179.00,53.70,125.30,135.80,10.00,0.25,0.25,0,125.30,0,0,0,0.00,0.20,0,0,0,0,0,0,0,136.00,0,-,
Siolim Navtara,24-25/T1-170396,-,200041674505957,2025-03-04,12:38:17 PM,12:48:35 PM,12:53:10 PM,SWIGGY,NA,-,238.00,60.00,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,-,
Siolim Navtara,24-25/T1-170397,-,200041700411761,2025-03-04,12:39:17 PM,12:50:31 PM,12:53:03 PM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,42.69,114.32,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Siolim Navtara,24-25/T1-170398,-,200041727615417,2025-03-04,12:40:17 PM,12:54:24 PM,01:43:20 PM,SWIGGY,NA,-,219.00,60.00,159.00,169.50,10.00,0.25,0.25,0,159.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,170.00,0,-,
Siolim Navtara,24-25/T1-170400,-,200042254840331,2025-03-04,12:48:17 PM,01:17:30 PM,01:43:30 PM,SWIGGY,NA,-,526.00,99.98,426.01,436.51,10.00,0.25,0.25,426.02,0.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,437.00,0,-,
