Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:36 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,PhonePe -Offline,Total Tip,Offer Code,
Margao Navtara,24-25/T1-155950,-,199771003900416,2025-03-01,09:27:32 AM,09:41:17 AM,10:33:19 AM,SWIGGY,NA,-,326.00,74.99,251.01,261.51,10.00,0.25,0.25,114.73,136.29,0,0,0,0.00,0.49,0,0,0,0,0,0,0,262.00,0,0,-,
Margao Navtara,24-25/T1-155957,-,199771074710124,2025-03-01,09:34:33 AM,10:06:37 AM,10:33:24 AM,SWIGGY,NA,-,225.00,59.99,165.00,175.50,10.00,0.25,0.25,0,165.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,176.00,0,0,-,
Margao Navtara,24-25/T1-155959,-,199771544255936,2025-03-01,09:36:33 AM,09:45:42 AM,10:33:29 AM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,0,-,
Margao Navtara,24-25/T1-155966,-,199772416195771,2025-03-01,09:50:34 AM,10:33:55 AM,10:34:06 AM,SWIGGY,NA,-,187.00,56.10,130.90,142.42,10.00,0.25,0.25,20.30,110.60,0.51,0.51,0,0.00,-0.42,0,0,0,0,0,0,0,142.00,0,0,-,
Margao Navtara,24-25/T1-155971,-,199772824058321,2025-03-01,09:58:34 AM,10:06:25 AM,10:34:13 AM,SWIGGY,NA,-,257.00,0.00,257.00,267.50,10.00,0.25,0.25,0,257.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,268.00,0,0,-,
Margao Navtara,24-25/T1-155984,-,199774905202462,2025-03-01,10:32:35 AM,10:44:00 AM,11:18:50 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,0,-,
Margao Navtara,24-25/T1-155992,-,199775792674829,2025-03-01,10:47:35 AM,11:45:50 AM,12:20:27 PM,SWIGGY,NA,-,584.00,99.99,484.01,494.51,10.00,0.25,0.25,0,484.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,495.00,0,0,-,
Margao Navtara,24-25/T1-156008,-,199777770915247,2025-03-01,11:20:36 AM,11:35:05 AM,11:45:26 AM,SWIGGY,NA,-,187.00,56.10,130.90,141.40,10.00,0.25,0.25,0,130.90,0,0,0,0.00,-0.40,0,0,0,0,0,0,0,141.00,0,0,-,
Margao Navtara,24-25/T1-156011,-,199777961581609,2025-03-01,11:23:36 AM,11:40:39 AM,11:55:57 AM,SWIGGY,NA,-,237.00,59.99,177.00,187.50,10.00,0.25,0.25,96.34,80.66,0,0,0,0.00,0.50,0,0,0,0,0,0,0,188.00,0,0,-,
Margao Navtara,24-25/T1-156023,-,199780227141238,2025-03-01,12:01:14 PM,12:19:42 PM,12:40:32 PM,SWIGGY,NA,-,238.00,59.99,178.00,193.32,10.00,0.25,0.25,0,178.00,2.41,2.41,0,0.00,-0.32,0,0,0,0,0,0,0,193.00,0,0,-,
Margao Navtara,24-25/T1-156027,-,199781167554356,2025-03-01,12:17:14 PM,12:36:01 PM,01:07:25 PM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,198.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,0,-,
Margao Navtara,24-25/T1-156029,-,199782079592340,2025-03-01,12:32:16 PM,12:54:20 PM,01:22:17 PM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,0,-,
Margao Navtara,24-25/T1-156032,-,199782579279431,2025-03-01,12:40:17 PM,12:53:50 PM,01:07:32 PM,SWIGGY,NA,-,239.00,0.00,239.00,249.50,10.00,0.25,0.25,0,239.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,250.00,0,0,-,
Margao Navtara,24-25/T1-156034,-,199782635864601,2025-03-01,12:41:17 PM,12:54:49 PM,01:07:39 PM,SWIGGY,NA,-,416.00,59.99,356.00,366.50,10.00,0.25,0.25,0,356.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,367.00,0,0,-,
Margao Navtara,24-25/T1-156037,-,199782902212974,2025-03-01,12:45:16 PM,01:08:40 PM,01:26:54 PM,SWIGGY,NA,-,662.00,99.98,562.01,572.51,10.00,0.25,0.25,184.23,377.80,0,0,0,0.00,0.49,0,0,0,0,0,0,0,573.00,0,0,-,
Margao Navtara,24-25/T1-156046,-,199784815137100,2025-03-01,01:18:17 PM,01:25:47 PM,01:31:42 PM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,0,-,
Margao Navtara,24-25/T1-156049,-,199785468179569,2025-03-01,01:28:18 PM,01:48:21 PM,02:03:58 PM,SWIGGY,NA,-,278.00,60.00,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,0,-,
Margao Navtara,24-25/T1-156051,-,199785608456457,2025-03-01,01:31:18 PM,01:38:28 PM,02:10:56 PM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,0,-,
Margao Navtara,24-25/T1-156052,-,199785760051889,2025-03-01,01:33:20 PM,01:47:19 PM,02:04:09 PM,SWIGGY,NA,-,358.00,75.00,283.00,293.50,10.00,0.25,0.25,101.98,181.03,0,0,0,0.00,0.50,0,0,0,0,0,0,0,294.00,0,0,-,
Margao Navtara,24-25/T1-156053,-,199785787389246,2025-03-01,01:34:19 PM,01:47:41 PM,02:04:17 PM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,41.30,97.30,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,0,-,
Margao Navtara,24-25/T1-156056,-,199786316688971,2025-03-01,01:42:19 PM,01:50:53 PM,02:04:22 PM,SWIGGY,NA,-,236.00,59.99,176.01,186.51,10.00,0.25,0.25,0,176.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,187.00,0,0,-,
Margao Navtara,24-25/T1-156057,-,199786316019445,2025-03-01,01:43:20 PM,02:01:49 PM,02:17:31 PM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,0,-,
Margao Navtara,24-25/T1-156058,-,199786377463190,2025-03-01,01:44:19 PM,01:52:45 PM,02:27:18 PM,SWIGGY,NA,-,196.00,58.80,137.20,147.70,10.00,0.25,0.25,0,137.20,0,0,0,0.00,0.30,0,0,0,0,0,0,0,148.00,0,0,-,
Margao Navtara,24-25/T1-156059,-,199786395125202,2025-03-01,01:44:20 PM,02:12:24 PM,02:34:59 PM,SWIGGY,NA,-,527.00,99.99,427.01,437.51,10.00,0.25,0.25,72.11,354.90,0,0,0,0.00,0.49,0,0,0,0,0,0,0,438.00,0,0,-,
Margao Navtara,24-25/T1-156061,-,199786777870892,2025-03-01,01:50:19 PM,02:26:51 PM,02:50:29 PM,SWIGGY,NA,-,222.00,59.99,162.00,172.50,10.00,0.25,0.25,0,162.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,173.00,0,0,-,
Margao Navtara,24-25/T1-156063,-,199786970064271,2025-03-01,01:53:20 PM,02:16:46 PM,02:41:04 PM,SWIGGY,NA,-,478.00,100.00,378.00,388.50,10.00,0.25,0.25,0,378.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,389.00,0,0,-,
Margao Navtara,24-25/T1-156066,-,199787178083144,2025-03-01,01:56:20 PM,02:32:41 PM,02:41:14 PM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,0,-,
Margao Navtara,24-25/T1-156068,-,199787463570528,2025-03-01,02:02:20 PM,02:20:07 PM,02:41:26 PM,SWIGGY,NA,-,487.00,100.00,387.00,397.50,10.00,0.25,0.25,0,387.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,398.00,0,0,-,
Margao Navtara,24-25/T1-156070,-,199787802192778,2025-03-01,02:07:21 PM,02:29:14 PM,02:41:49 PM,SWIGGY,NA,-,249.00,60.00,189.00,199.50,10.00,0.25,0.25,0,189.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,200.00,0,0,-,
Margao Navtara,24-25/T1-156078,-,199789458571723,2025-03-01,02:34:52 PM,02:47:27 PM,03:03:05 PM,SWIGGY,NA,-,138.00,0.00,138.00,148.50,10.00,0.25,0.25,29.00,109.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,149.00,0,0,-,
