Porvorim Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.01.01--2025.01.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 11:52:16 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Porvorim Navtara,25-26/T1-176668,-,194925420416429,2025-01-04,07:27:41 AM,08:03:16 AM,08:49:11 AM,SWIGGY,NA,-,217.00,59.99,157.01,167.51,10.00,0.25,0.25,0,157.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,168.00,0,-,
Porvorim Navtara,25-26/T1-176669,-,194926850253925,2025-01-04,07:51:41 AM,07:58:18 AM,08:49:15 AM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,62.30,76.30,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Porvorim Navtara,25-26/T1-176671,-,194927456297159,2025-01-04,08:01:47 AM,08:20:36 AM,08:49:19 AM,SWIGGY,NA,-,343.00,75.00,268.00,278.50,10.00,0.25,0.25,0,268.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,279.00,0,-,
Porvorim Navtara,25-26/T1-176675,-,194928750702708,2025-01-04,08:22:48 AM,08:37:25 AM,08:49:24 AM,SWIGGY,NA,-,303.00,75.00,228.00,238.50,10.00,0.25,0.25,0,228.02,0,0,0,0.00,0.50,0,0,0,0,0,0,0,239.00,0,-,
Porvorim Navtara,25-26/T1-176677,-,194929325245400,2025-01-04,08:32:51 AM,08:46:20 AM,08:49:28 AM,SWIGGY,NA,-,245.00,60.00,185.00,195.50,10.00,0.25,0.25,0,185.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,196.00,0,-,
Porvorim Navtara,25-26/T1-176678,-,194929365502430,2025-01-04,08:33:50 AM,08:40:21 AM,09:28:05 AM,SWIGGY,NA,-,206.00,59.99,146.00,156.50,10.00,0.25,0.25,0,146.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,157.00,0,-,
Porvorim Navtara,25-26/T1-176680,-,194930490500769,2025-01-04,08:52:52 AM,09:03:02 AM,09:28:11 AM,SWIGGY,NA,-,206.00,59.99,146.00,156.50,10.00,0.25,0.25,0,146.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,157.00,0,-,
Porvorim Navtara,25-26/T1-176681,-,194930562677602,2025-01-04,08:53:51 AM,09:22:13 AM,09:39:46 AM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
Porvorim Navtara,25-26/T1-176683,-,194931058639196,2025-01-04,09:01:52 AM,09:25:31 AM,09:28:16 AM,SWIGGY,NA,-,672.00,87.49,584.51,595.01,10.00,0.25,0.25,414.04,170.48,0,0,0,0.00,-0.01,0,0,0,0,0,0,0,595.00,0,-,
Porvorim Navtara,25-26/T1-176684,-,194931128799510,2025-01-04,09:02:52 AM,09:12:36 AM,09:35:05 AM,SWIGGY,NA,-,216.00,59.99,156.01,166.51,10.00,0.25,0.25,0,156.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,167.00,0,-,
