KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:42:56 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,25-26/T1-120156,-,197354023062609,2025-02-01,10:04:20 AM,10:14:37 AM,10:20:44 AM,SWIGGY,NA,-,345.00,83.40,261.60,272.10,10.00,0.25,0.25,0,261.59,0,0,0.00,-0.10,0,0,0,0,0,0,0,272.00,0,-,
KTC Navtara,25-26/T1-120158,-,197354373530770,2025-02-01,10:10:21 AM,10:18:50 AM,10:20:49 AM,SWIGGY,NA,-,217.00,62.40,154.60,165.10,10.00,0.25,0.25,0,154.59,0,0,0.00,-0.10,0,0,0,0,0,0,0,165.00,0,-,
KTC Navtara,25-26/T1-120160,-,197355144373542,2025-02-01,10:23:22 AM,10:31:03 AM,10:49:36 AM,SWIGGY,NA,-,225.00,56.00,169.00,181.68,10.00,0.25,0.25,0,169.00,1.09,1.09,0.00,0.32,0,0,0,0,0,0,0,182.00,0,-,
KTC Navtara,25-26/T1-120162,-,197355280914527,2025-02-01,10:25:22 AM,10:31:10 AM,10:49:40 AM,SWIGGY,NA,-,79.00,0.00,79.00,89.50,10.00,0.25,0.25,0,79.00,0,0,0.00,0.50,0,0,0,0,0,0,0,90.00,0,-,
KTC Navtara,25-26/T1-120166,-,197356092712205,2025-02-01,10:38:22 AM,11:15:30 AM,11:26:54 AM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
KTC Navtara,25-26/T1-120167,-,197356173969785,2025-02-01,10:40:22 AM,11:01:14 AM,11:27:00 AM,SWIGGY,NA,-,208.00,60.00,148.00,158.50,10.00,0.25,0.25,27.75,120.25,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
KTC Navtara,25-26/T1-120168,-,197356634238739,2025-02-01,10:47:24 AM,11:12:31 AM,11:27:06 AM,SWIGGY,NA,-,347.00,62.49,284.50,295.00,10.00,0.25,0.25,72.97,211.53,0,0,0.00,-0.00,0,0,0,0,0,0,0,295.00,0,-,
KTC Navtara,25-26/T1-120171,-,197357351796863,2025-02-01,11:00:23 AM,11:35:56 AM,11:43:49 AM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,-,
KTC Navtara,25-26/T1-120179,-,197358909026044,2025-02-01,11:26:23 AM,11:40:25 AM,11:43:53 AM,SWIGGY,NA,-,237.00,68.40,168.60,179.10,10.00,0.25,0.25,0,168.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,179.00,0,-,
KTC Navtara,25-26/T1-120181,-,197359382413191,2025-02-01,11:34:25 AM,11:51:50 AM,12:16:03 PM,SWIGGY,NA,-,249.00,60.00,189.00,199.50,10.00,0.25,0.25,0,189.00,0,0,0.00,0.50,0,0,0,0,0,0,0,200.00,0,-,
KTC Navtara,25-26/T1-120185,-,197361205571626,2025-02-01,12:04:28 PM,12:34:19 PM,12:44:07 PM,SWIGGY,NA,-,187.00,56.10,130.90,141.40,10.00,0.25,0.25,0,130.90,0,0,0.00,-0.40,0,0,0,0,0,0,0,141.00,0,-,
KTC Navtara,25-26/T1-120186,-,197361191677584,2025-02-01,12:04:29 PM,12:23:22 PM,12:34:40 PM,SWIGGY,NA,-,327.00,67.00,260.00,271.65,10.00,0.25,0.25,0,260.00,0.57,0.57,0.00,0.35,0,0,0,0,0,0,0,272.00,0,-,
KTC Navtara,25-26/T1-120189,-,197362619202411,2025-02-01,12:28:01 PM,12:39:52 PM,01:06:31 PM,SWIGGY,NA,-,227.00,65.40,161.60,172.10,10.00,0.25,0.25,0,161.59,0,0,0.00,-0.10,0,0,0,0,0,0,0,172.00,0,-,
KTC Navtara,25-26/T1-120190,-,197362726020188,2025-02-01,12:30:02 PM,12:42:07 PM,12:56:24 PM,SWIGGY,NA,-,357.00,75.00,282.00,292.50,10.00,0.25,0.25,0,282.01,0,0,0.00,0.50,0,0,0,0,0,0,0,293.00,0,-,
KTC Navtara,25-26/T1-120191,-,197362913961647,2025-02-01,12:32:01 PM,12:39:38 PM,12:49:26 PM,SWIGGY,NA,-,196.00,48.00,148.00,158.50,10.00,0.25,0.25,0,148.00,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
KTC Navtara,25-26/T1-120193,-,197363858824329,2025-02-01,12:48:02 PM,12:52:01 PM,01:06:36 PM,SWIGGY,NA,-,148.00,0.00,148.00,158.50,10.00,0.25,0.25,89.00,59.00,0,0,0.00,0.50,0,0,0,0,0,0,0,159.00,0,-,
KTC Navtara,25-26/T1-120194,-,197363801257562,2025-02-01,12:49:02 PM,01:00:44 PM,01:20:55 PM,SWIGGY,NA,-,923.00,0.00,923.00,933.50,10.00,0.25,0.25,0,923.00,0,0,0.00,0.50,0,0,0,0,0,0,0,934.00,0,-,
KTC Navtara,25-26/T1-120197,-,197364118377539,2025-02-01,12:53:02 PM,12:57:47 PM,01:21:00 PM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,65.58,102.42,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
KTC Navtara,25-26/T1-120199,-,197364744917004,2025-02-01,01:03:02 PM,01:22:45 PM,01:31:44 PM,SWIGGY,NA,-,98.00,24.00,74.00,84.50,10.00,0.25,0.25,0,74.00,0,0,0.00,0.50,0,0,0,0,0,0,0,85.00,0,-,
KTC Navtara,25-26/T1-120202,-,197365018803767,2025-02-01,01:07:03 PM,01:23:21 PM,01:33:18 PM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,0,138.60,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
