Panaji Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.02.01--2025.02.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-14 03:43:21 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
Panaji Navtara,25-26/T1-220505,-,197738432437969,2025-02-05,08:51:17 PM,09:13:21 PM,09:14:59 PM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,138.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,-,
Panaji Navtara,25-26/T1-220506,-,197738434283917,2025-02-05,08:51:18 PM,09:03:01 PM,09:15:03 PM,SWIGGY,NA,-,368.00,75.00,293.00,303.50,10.00,0.25,0.25,0,293.01,0,0,0.00,0.50,0,0,0,0,0,0,0,304.00,0,-,
Panaji Navtara,25-26/T1-220507,-,197738479695438,2025-02-05,08:54:17 PM,09:08:09 PM,09:15:07 PM,SWIGGY,NA,-,407.00,75.00,332.00,342.50,10.00,0.25,0.25,0,332.00,0,0,0.00,0.50,0,0,0,0,0,0,0,343.00,0,-,
Panaji Navtara,25-26/T1-220514,-,197739199476706,2025-02-05,09:17:42 PM,09:26:46 PM,10:11:36 PM,SWIGGY,NA,-,59.00,17.70,41.30,51.80,10.00,0.25,0.25,0,41.30,0,0,0.00,0.20,0,0,0,0,0,0,0,52.00,0,-,
Panaji Navtara,25-26/T1-220519,-,197742238100468,2025-02-05,09:54:22 PM,10:06:01 PM,10:11:40 PM,SWIGGY,NA,-,346.00,62.49,283.51,294.01,10.00,0.25,0.25,121.27,162.24,0,0,0.00,-0.01,0,0,0,0,0,0,0,294.00,0,-,
Panaji Navtara,25-26/T1-220521,-,197743170191849,2025-02-05,10:10:22 PM,10:23:27 PM,10:57:23 PM,SWIGGY,NA,-,209.00,60.00,149.00,159.50,10.00,0.25,0.25,0,149.00,0,0,0.00,0.50,0,0,0,0,0,0,0,160.00,0,-,
Panaji Navtara,25-26/T1-220524,-,197743639638982,2025-02-05,10:18:23 PM,10:36:02 PM,10:57:28 PM,SWIGGY,NA,-,357.00,74.99,282.01,292.51,10.00,0.25,0.25,0,282.00,0,0,0.00,0.49,0,0,0,0,0,0,0,293.00,0,-,
Panaji Navtara,25-26/T1-220525,-,197744125930359,2025-02-05,10:26:25 PM,10:44:17 PM,10:57:32 PM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,65.58,102.42,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,-,
Panaji Navtara,25-26/T1-220528,-,197776873438115,2025-02-06,07:32:20 AM,07:50:19 AM,08:05:54 AM,SWIGGY,NA,-,217.00,59.99,157.00,167.50,10.00,0.25,0.25,0,157.01,0,0,0.00,0.50,0,0,0,0,0,0,0,168.00,0,-,
Panaji Navtara,25-26/T1-220529,-,197777123288731,2025-02-06,07:36:19 AM,07:51:30 AM,08:05:59 AM,SWIGGY,NA,-,245.00,59.99,185.01,195.51,10.00,0.25,0.25,0,185.00,0,0,0.00,0.49,0,0,0,0,0,0,0,196.00,0,-,
Panaji Navtara,25-26/T1-220530,-,197778204522812,2025-02-06,07:54:19 AM,08:06:35 AM,09:12:56 AM,SWIGGY,NA,-,196.00,58.80,137.20,148.72,10.00,0.25,0.25,0,137.20,0.51,0.51,0.00,0.28,0,0,0,0,0,0,0,149.00,0,-,
Panaji Navtara,25-26/T1-220531,-,197778259723162,2025-02-06,07:57:19 AM,08:03:29 AM,08:54:41 AM,SWIGGY,NA,-,206.00,59.99,146.01,156.51,10.00,0.25,0.25,0,146.01,0,0,0.00,0.49,0,0,0,0,0,0,0,157.00,0,-,
Panaji Navtara,25-26/T1-220532,-,197778749007995,2025-02-06,08:03:19 AM,08:22:17 AM,09:13:00 AM,SWIGGY,NA,-,352.00,0.00,352.00,366.85,10.00,0.25,0.25,0,352.00,2.17,2.17,0.00,0.15,0,0,0,0,0,0,0,367.00,0,-,
Panaji Navtara,25-26/T1-220533,-,197779560311052,2025-02-06,08:16:24 AM,08:18:00 AM,09:13:24 AM,SWIGGY,NA,-,218.00,59.99,158.00,168.50,10.00,0.25,0.25,0,158.00,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,-,
Panaji Navtara,25-26/T1-220534,-,197779523209671,2025-02-06,08:16:25 AM,08:26:23 AM,09:13:44 AM,SWIGGY,NA,-,247.00,59.99,187.00,197.50,10.00,0.25,0.25,0,187.01,0,0,0.00,0.50,0,0,0,0,0,0,0,198.00,0,-,
Panaji Navtara,25-26/T1-220535,-,197779591543041,2025-02-06,08:17:23 AM,08:26:35 AM,09:13:29 AM,SWIGGY,NA,-,237.00,59.99,177.00,187.50,10.00,0.25,0.25,0,177.00,0,0,0.00,0.50,0,0,0,0,0,0,0,188.00,0,-,
Panaji Navtara,25-26/T1-220536,-,197779799197505,2025-02-06,08:21:23 AM,08:28:58 AM,09:13:48 AM,SWIGGY,NA,-,206.00,59.99,146.01,157.54,10.00,0.25,0.25,55.29,90.72,0.52,0.52,0.00,0.46,0,0,0,0,0,0,0,158.00,0,-,
Panaji Navtara,25-26/T1-220538,-,197780063186723,2025-02-06,08:25:23 AM,08:37:02 AM,09:13:55 AM,SWIGGY,NA,-,216.00,59.99,156.00,166.50,10.00,0.25,0.25,56.34,99.67,0,0,0.00,0.50,0,0,0,0,0,0,0,167.00,0,-,
