KTC Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.04.01--2025.04.30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-05-12 11:58:35 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,Total Tip,Offer Code,
KTC Navtara,25-26/T1-1288,-,203847560722596,2025-04-17,01:50:48 PM,02:16:51 PM,04:04:26 PM,SWIGGY,NA,-,307.00,59.99,247.00,258.67,10.00,0.25,0.25,0,247.00,0.58,0.58,0,0.00,0.33,0,0,0,0,0,0,0,259.00,0,-,
KTC Navtara,25-26/T1-1289,-,203848116490145,2025-04-17,01:58:48 PM,02:11:50 PM,04:04:38 PM,SWIGGY,NA,-,447.00,75.00,372.00,382.50,10.00,0.25,0.25,0,372.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,383.00,0,-,
KTC Navtara,25-26/T1-1294,-,203849618165733,2025-04-17,02:24:49 PM,02:32:55 PM,04:04:46 PM,SWIGGY,NA,-,229.00,60.00,169.00,179.50,10.00,0.25,0.25,0,169.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,180.00,0,-,
KTC Navtara,25-26/T1-1295,-,203849873953564,2025-04-17,02:28:50 PM,02:40:38 PM,04:04:53 PM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,-,
KTC Navtara,25-26/T1-1298,-,203853232327999,2025-04-17,03:23:55 PM,03:41:08 PM,04:05:01 PM,SWIGGY,NA,-,297.00,59.99,237.01,247.51,10.00,0.25,0.25,0,237.00,0,0,0,0.00,0.49,0,0,0,0,0,0,0,248.00,0,-,
KTC Navtara,25-26/T1-1299,-,203853388609208,2025-04-17,03:26:55 PM,03:36:36 PM,04:05:08 PM,SWIGGY,NA,-,238.00,0.00,238.00,248.50,10.00,0.25,0.25,99.00,139.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,249.00,0,-,
KTC Navtara,25-26/T1-1301,-,203854287515337,2025-04-17,03:42:56 PM,03:52:47 PM,05:09:52 PM,SWIGGY,NA,-,229.00,60.00,169.00,179.50,10.00,0.25,0.25,0,169.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,180.00,0,-,
KTC Navtara,25-26/T1-1306,-,203856866293937,2025-04-17,04:25:02 PM,04:35:48 PM,05:10:12 PM,SWIGGY,NA,-,99.00,0.00,99.00,109.50,10.00,0.25,0.25,0,99.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,110.00,0,-,
KTC Navtara,25-26/T1-1309,-,203857326172590,2025-04-17,04:33:02 PM,04:48:43 PM,05:29:32 PM,SWIGGY,NA,-,248.00,59.99,188.00,198.50,10.00,0.25,0.25,75.05,112.95,0,0,0,0.00,0.50,0,0,0,0,0,0,0,199.00,0,-,
KTC Navtara,25-26/T1-1312,-,203859124678585,2025-04-17,05:03:03 PM,05:46:05 PM,05:50:19 PM,SWIGGY,NA,-,407.00,74.99,332.01,342.51,10.00,0.25,0.25,0,332.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,343.00,0,-,
